Provincia,Población,Latitud,Longitud
Jaén,Cazorla,37.91055,-3.002167
Jaén,Chiclana de Segura,38.31147,-3.042188
Jaén,Chilluévar,38.00106,-3.031099
Jaén,Escañuela,37.87872,-4.033281
Jaén,Espelúy,38.03308,-3.861802
Jaén,Frailes,37.48515,-3.838214
Jaén,Fuensanta de Martos,37.64784,-3.906
Jaén,Fuerte del Rey,37.87396,-3.884589
Jaén,Génave,38.43014,-2.732766
Jaén,Guardia de Jaén (La),37.74164,-3.692717
Jaén,Guarromán,38.18151,-3.686501
Jaén,Higuera de Calatrava,37.7969,-4.154945
Jaén,Hinojares,37.71555,-2.999204
Jaén,Hornos,38.21679,-2.720247
Jaén,Huelma,37.64524,-3.455428
Jaén,Huesa,37.76411,-3.078167
Jaén,Ibros,38.02261,-3.502375
Jaén,Iruela (La),37.92038,-2.993985
Jaén,Iznatoraf,38.15744,-3.032914
Jaén,Jabalquinto,38.01932,-3.724704
Jaén,Jaén,37.76574,-3.789518
Jaén,Jamilena,37.74709,-3.912299
Jaén,Jimena,37.84158,-3.476529
Jaén,Jódar,37.84398,-3.352545
Jaén,Lahiguera,37.97049,-3.989164
Jaén,Larva,37.75892,-3.20015
Jaén,Linares,38.09362,-3.635844
Jaén,Lopera,37.94367,-4.214694
Jaén,Lupión,37.99656,-3.546936
Jaén,Mancha Real,37.78617,-3.612393
Jaén,Marmolejo,38.04433,-4.170608
Jaén,Martos,37.72278,-3.966259
Jaén,Mengíbar,37.96833,-3.808806
Jaén,Montizón,38.34243,-3.103404
Jaén,Navas de San Juan,38.18464,-3.315369
Jaén,Noalejo,37.52939,-3.653675
Jaén,Orcera,38.31738,-2.664912
Jaén,Peal de Becerro,37.91332,-3.121655
Jaén,Pegalajar,37.73797,-3.651098
Jaén,Porcuna,37.87086,-4.184721
Jaén,Pozo Alcón,37.70512,-2.93436
Jaén,Puente de Génave,38.35323,-2.804408
Jaén,Puerta de Segura (La),38.34861,-2.737147
Jaén,Quesada,37.8451,-3.067591
Jaén,Rus,38.04807,-3.462054
Jaén,Sabiote,38.06915,-3.306595
Jaén,Santa Elena,38.33911,-3.539236
Jaén,Santiago-Pontones,38.1,-2.55
Jaén,Santiago de Calatrava,37.75299,-4.169107
Jaén,Santisteban del Puerto,38.24746,-3.206428
Jaén,Santo Tomé,38.02818,-3.101844
Jaén,Segura de la Sierra,38.29776,-2.651513
Jaén,Siles,38.38734,-2.58131
Jaén,Sorihuela del Guadalimar,38.23954,-3.054152
Jaén,Torre del Campo,37.77657,-3.895521
Jaén,Torreblascopedro,37.99618,-3.638916
Jaén,Torredonjimeno,37.76543,-3.959263
Jaén,Torreperogil,38.0345,-3.287597
Jaén,Torres,37.78608,-3.510031
Jaén,Torres de Albánchez,38.41451,-2.677051
Jaén,Úbeda,38.00809,-3.368519
Jaén,Valdepeñas de Jaén,37.59034,-3.819645
Jaén,Vilches,38.20467,-3.507662
Jaén,Villacarrillo,38.11541,-3.087194
Jaén,Villanueva de la Reina,38.00499,-3.919512
Jaén,Villanueva del Arzobispo,38.16934,-3.010099
Jaén,Villardompardo,37.83969,-4.001286
Jaén,Villares (Los),37.68932,-3.81857
Jaén,Villarrodrigo,38.48793,-2.636272
Jaén,Villatorres,37.9313,-3.692753
Málaga,Alameda,37.20783,-4.658073
Málaga,Alcaucín,36.90263,-4.114147
Málaga,Alfarnate,36.99511,-4.260656
Málaga,Alfarnatejo,36.97935,-4.272528
Málaga,Algarrobo,36.77216,-4.039314
Málaga,Algatocín,36.57289,-5.276559
Málaga,Alhaurín de la Torre,36.66836,-4.552967
Málaga,Alhaurín el Grande,36.64186,-4.691447
Málaga,Almáchar,36.80859,-4.217409
Málaga,Almargen,37.00392,-5.021193
Málaga,Almogía,36.82528,-4.540719
Málaga,Álora,36.82264,-4.706715
Málaga,Alozaina,36.72768,-4.85646
Málaga,Alpandeire,36.63317,-5.202244
Málaga,Antequera,37.01938,-4.562885
Málaga,Árchez,36.83739,-3.990186
Málaga,Archidona,37.09481,-4.387545
Málaga,Ardales,36.87798,-4.846642
Málaga,Arenas,36.81469,-4.043716
Málaga,Arriate,36.79936,-5.140064
Málaga,Atajate,36.63999,-5.245177
Málaga,Benadalid,36.60577,-5.268939
Málaga,Benahavís,36.52446,-5.046305
Málaga,Benalauría,36.59402,-5.261163
Málaga,Benalmádena,36.59523,-4.573368
Málaga,Benamargosa,36.83208,-4.19239
Málaga,Benamocarra,36.7912,-4.159968
Málaga,Benaoján,36.71874,-5.25315
Málaga,Benarrabá,36.55169,-5.276832
Málaga,Borge (El),36.81446,-4.23489
Málaga,Burgo (El),36.78993,-4.946407
Málaga,Campillos,37.04541,-4.861525
Málaga,Cañete la Real,36.95146,-5.024308
Málaga,Canillas de Aceituno,36.87345,-4.082042
Málaga,Canillas de Albaida,36.84607,-3.987585
Málaga,Carratraca,36.85158,-4.818239
Málaga,Cartajima,36.6454,-5.153931
Málaga,Cártama,36.71131,-4.630741
Málaga,Casabermeja,36.89404,-4.428977
Málaga,Casarabonela,36.78524,-4.842167
Málaga,Casares,36.44333,-5.273519
Málaga,Coín,36.65871,-4.760344
Málaga,Colmenar,36.90502,-4.335212
Málaga,Comares,36.84872,-4.247061
Málaga,Cómpeta,36.833,-3.974872
Málaga,Cortes de la Frontera,36.61691,-5.342681
Málaga,Cuevas Bajas,37.23587,-4.489641
